tweet_id,created_at,text
822808184956055553,2017-01-21 14:08:52,"b'Quiero vivir mil veces y las mil veces contigo... #1year \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8d\xf0\x9f\x98\x98 @ Mexico City, Mexico https://t.co/Akp65VmEI4'"
822417296903835649,2017-01-20 12:15:38,b'Me di cuenta que la distancia se hizo para comprobar la intensidad y honestidad de un\xe2\x80\xa6 https://t.co/uBHgq4q1kx'
816865819275751425,2017-01-05 04:36:02,b'La princesa Escarlata del Negro caballero! #FEREMA #purocuais #matehualatierrademazapan #hahaha\xe2\x80\xa6 https://t.co/SddKYsnBVx'
816534398183108608,2017-01-04 06:39:05,b'Si ella supiera... \xf0\x9f\x98\x8d#FEREMA #lafirma @ Feria Regional De Matehuala 2017 https://t.co/Wp1kbB2p96'
816504305968627712,2017-01-04 04:39:31,b'La Firma con la celebridad del momento #FEREMA #adarle #matehualanoteacabes @ Feria Regional De\xe2\x80\xa6 https://t.co/jIGhs1dipy'
814901853951524864,2016-12-30 18:31:56,"b'Despu\xc3\xa9s de dar c\xc3\xa1tedra en la cascarita #AndresChitiva #tikitaka #americavschivas @ Matehuala,\xe2\x80\xa6 https://t.co/JSwgEjd3T5'"
814900669022879744,2016-12-30 18:27:14,"b'Los famosos con la celebridad del momento #hahaha #cardenalesdenuevoleon #FEREMA @ Matehuala,\xe2\x80\xa6 https://t.co/Lng6yvXtKj'"
809033388665413633,2016-12-14 13:52:45,b'Despertando ando!! #letsgo #newchalleges \xf0\x9f\x98\x8f\xf0\x9f\xa4\x93 @ Los Nogales Restaurante y Caf\xc3\xa9 https://t.co/jPZheiDlxJ'
808862361373159425,2016-12-14 02:33:09,"b'Porque la pasi\xc3\xb3n no se olvida... #nochesdefutbol \xe2\x9a\xbd\xef\xb8\x8f @ Matehuala, San Luis Potosi https://t.co/ZicNqRYN0m'"
803946260403134465,2016-11-30 12:58:19,"b'Siempre se feliz! Y haz las cosas dif\xc3\xadciles, esas que nadie quiere hacer... \xc3\x89sas son las cosas\xe2\x80\xa6 https://t.co/ZAVAiQEE6P'"
801668646544117760,2016-11-24 06:07:54,"b'I love five girls before you, their names were WHO, WHAT, WHEN, WHERE, WHY.... but you are all\xe2\x80\xa6 https://t.co/05nHWbIyFq'"
797349289441693696,2016-11-12 08:04:19,b'#Downtown \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd https://t.co/Uo9Lgrn7vr'
779558825170829312,2016-09-24 05:51:22,b'Una velada con \xc3\xa9l cumplea\xc3\xb1ero m\xc3\xa1s guapo de los cumplea\xc3\xb1eros de ayer! #Hahaha #cuais\xe2\x80\xa6 https://t.co/kNqhWcZWJC'
775318336791994368,2016-09-12 13:01:10,"b'Another chance to make it better \xf0\x9f\xa4\x93#mondaymotivation @ San Luis Potosi, Mexico https://t.co/3wodBQpvEq'"
769964155247980544,2016-08-28 18:25:34,b'@IlseAguilar3 tu di cuando tienes chance de ir por unas alitas o unos tacos..'
769342163821793280,2016-08-27 01:14:00,b'Por m\xc3\xa1s que le busco no encuentro las porter\xc3\xadas  \xf0\x9f\xa4\x94 #toros #aprendiendo #purocuais @ Plaza de\xe2\x80\xa6 https://t.co/WUHU29hKq1'
769328320378916864,2016-08-27 00:18:59,b'@IlseAguilar3 Hahahah todav\xc3\xada falta!! Pero pues t\xc3\xba di cuando vamos por unos tacos como hace muchisisisisisisisissisisimo que fuimos por unos'
769318898189668352,2016-08-26 23:41:33,b'@IlseAguilar3 mmmmm te sigo esperando desde mi cumple pasado a que llegues... \xf0\x9f\x98\x92'
769198962225975309,2016-08-26 15:44:58,b'@IlseAguilar3 Hahahaha 3 a\xc3\xb1os despu\xc3\xa9s... Como andas amiguita??'
